Epoch	Accuracy	Loss
1	0.500	0.900
2	0.505	0.897
3	0.509	0.893
4	0.512	0.889
5	0.515	0.888
6	0.519	0.887
7	0.521	0.887
8	0.522	0.883
9	0.523	0.881
10	0.526	0.876
11	0.529	0.872
12	0.530	0.870
13	0.534	0.866
14	0.535	0.862
15	0.538	0.859
16	0.541	0.854
17	0.543	0.853
18	0.547	0.850
19	0.550	0.846
20	0.553	0.845
21	0.554	0.841
22	0.554	0.836
23	0.557	0.834
24	0.560	0.830
25	0.563	0.828
26	0.567	0.826
27	0.569	0.822
28	0.571	0.818
29	0.576	0.817
30	0.579	0.815
31	0.580	0.814
32	0.580	0.814
33	0.584	0.809
34	0.586	0.808
35	0.588	0.806
36	0.589	0.802
37	0.593	0.798
38	0.596	0.795
39	0.598	0.793
40	0.603	0.790
41	0.606	0.787
42	0.609	0.786
43	0.611	0.783
44	0.616	0.779
45	0.617	0.776
46	0.618	0.774
47	0.620	0.774
48	0.624	0.770
49	0.626	0.766
50	0.631	0.764
51	0.633	0.763
52	0.635	0.760
53	0.637	0.758
54	0.641	0.755
55	0.643	0.752
56	0.645	0.749
57	0.646	0.748
58	0.648	0.747
59	0.650	0.747
60	0.650	0.744
61	0.652	0.740
62	0.654	0.738
63	0.657	0.736
64	0.660	0.734
65	0.661	0.734
66	0.662	0.730
67	0.664	0.726
68	0.668	0.722
69	0.671	0.721
70	0.673	0.716
71	0.673	0.714
72	0.675	0.714
73	0.678	0.710
74	0.683	0.709
75	0.684	0.709
76	0.684	0.706
77	0.687	0.701
78	0.692	0.697
79	0.694	0.695
80	0.694	0.695
81	0.696	0.690
82	0.700	0.687
83	0.700	0.682
84	0.702	0.682
85	0.704	0.680
86	0.708	0.677
87	0.713	0.677
88	0.715	0.676
89	0.718	0.672
90	0.722	0.670
91	0.725	0.669
92	0.726	0.668
93	0.727	0.664
94	0.727	0.662
95	0.730	0.659
96	0.733	0.658
97	0.737	0.657
98	0.739	0.655
99	0.742	0.654
100	0.746	0.650
